name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Marie,30286,37217,3435,6288,24618,68876,26089,28524,19641,6000,9113,260087
Peter,27270,25950,1873,3327,10831,36560,12509,9210,12233,3112,7427,150302
Christian,26391,22016,1357,3763,12594,32662,16046,13419,12561,2325,3233,146367
Erik,26506,18130,1491,4446,11342,30316,9268,9775,4011,1081,2142,118508
Anna,14104,15341,1096,3317,10946,30927,9778,12868,6009,3497,6630,114513
Jens,12926,16301,1036,2699,7387,33700,12739,14258,4577,2447,3550,111620
Hans,13536,19422,1556,5165,13624,20074,5441,9887,10658,2787,5416,107566
Margrethe,16597,17117,1975,3796,9909,24897,9455,8576,5342,1597,2780,102041
Niels,13172,14164,732,2127,8410,27905,9425,11078,2935,2252,2557,94757
Jørgen,22277,14687,665,3119,10752,20358,6506,7284,5347,1216,2345,94556
Karen,13434,14113,785,3333,9191,20083,7262,8077,2055,1851,3146,83330
Kirstine,5828,9514,262,1657,9656,24548,7064,11923,1456,1674,627,74209
Kristian,6138,8774,1119,1316,5294,22581,9203,11847,1289,1208,3334,72103
Kirsten,17634,10047,777,2255,5975,16994,4850,5620,2732,554,1295,68733
Johanne,9910,10529,660,3244,7061,14690,6668,6517,2802,1831,3192,67104
Henrik,17781,11064,531,1941,5467,15590,4066,5276,2736,417,1225,66094
Poul,13886,11397,824,2869,7702,14946,6438,4819,1049,906,1009,65845
Elisabeth,13484,10961,1295,2133,5278,14013,5553,5118,2466,934,4577,65812
Svend,11245,9791,806,2633,6277,17236,5620,6788,2493,1158,590,64637
Søren,11285,7887,336,1170,4678,21346,5267,7021,2652,802,1524,63968
Aage,10641,8678,932,2140,6302,18171,5332,5737,1926,1273,349,61481
Michael,17467,9734,628,1325,4873,14206,3058,4764,2118,224,2558,60955
Lars,11876,9806,335,1517,5827,15046,4253,5078,2448,539,3292,60017
Else,12618,9474,689,2335,5737,14080,5143,5492,1706,984,1653,59911
Ole,15117,9121,946,1722,4115,14065,4806,4881,1474,474,2719,59440
Anne,11483,8347,358,1444,5441,14088,3761,5345,6352,518,2158,59295
Martin,12125,9596,482,1395,4972,14392,4437,5116,2647,571,2506,58239
Inger,11447,8285,870,2100,4993,14163,4665,4999,1557,763,1208,55050
Anders,8798,8958,312,1252,5035,15621,4647,5789,1978,775,1543,54708
Mette,9284,6950,257,904,3901,16164,3885,6830,2852,405,1491,52923
Thomas,11524,7588,396,903,3775,13320,3870,4978,2537,322,3130,52343
Louise,11168,9279,669,1308,4406,11356,3370,4024,2070,364,3544,51558
Johannes,6209,8918,1415,2150,6549,10349,4064,4857,2483,1189,3197,51380
Maria,10832,7604,260,986,3789,9589,2348,3565,2863,373,8503,50712
Ellen,10117,7624,784,2366,5795,11374,4119,3450,1464,1037,1196,49326
Knud,8325,7580,934,2397,4267,12820,4859,4430,1114,856,1441,49023
Kristine,5200,10247,1019,1869,3896,10907,6730,5053,1035,1003,1885,48844
Hanne,12270,6848,451,1376,4545,12601,3410,4170,1931,217,669,48488
Sofie,8524,12000,569,1426,4236,9431,2369,2875,1310,855,3407,47002
Jan,14030,6682,385,1168,3809,10535,2482,3750,1887,204,1893,46825
Emil,10923,8119,560,1186,4171,10297,3560,3343,1011,631,1295,45096
John,14192,5939,360,1369,3614,9021,2103,2813,1323,359,3094,44187
Inge,11576,7742,438,1942,5014,9904,2110,2635,1412,324,571,43668
Bent,9663,6281,467,1622,4658,10724,2868,4074,2180,288,538,43363
Karl,4447,6362,726,1782,4584,10448,3569,3770,1409,1151,4718,42966
Carl,10154,7319,463,1844,4775,8003,2817,2443,2244,1495,1108,42665
Henning,8712,6586,549,1319,4370,11319,3093,4136,1430,364,455,42333
Per,11721,5547,308,1171,3110,11093,3286,3247,1346,221,889,41939
Susanne,10924,6395,408,1191,3693,9080,2225,3295,1669,131,1852,40863
Frederik,8720,8609,361,1292,3609,8664,2209,2828,1522,630,2165,40609
Rasmus,6190,6804,245,1346,5555,12090,2028,2885,1657,495,878,40173
Morten,7811,6353,306,1006,3439,11048,2761,3744,1838,109,728,39143
Helle,9320,5610,305,872,3098,10543,2709,3440,1484,88,314,37783
Andreas,6507,5257,1668,881,2735,8140,2633,3722,3284,551,2306,37684
Jesper,8527,6265,351,848,3308,9731,2381,3680,1636,68,472,37267
Grethe,8952,6016,380,1422,3512,9128,2972,3282,697,330,546,37237
Arne,7187,5641,533,1237,4012,9029,2908,3778,1236,391,922,36874
Marianne,10793,5696,358,1061,3311,7892,1461,2766,1551,146,1459,36494
Kim,10242,5659,311,867,2848,7965,1698,2913,1652,100,1710,35965
Lene,7646,5177,399,946,3374,9876,2606,3619,1365,111,411,35530
Gerda,6122,5402,260,1051,2781,9514,2941,3474,1138,574,862,34119
Børge,7614,5470,460,1640,3582,8508,2737,2739,688,480,123,34041
Peder,1819,3597,172,1150,5254,8607,2579,8955,725,946,194,33998
Birthe,8894,5372,346,1120,3072,7524,2480,2563,1218,283,960,33832
Charlotte,9349,5507,293,794,2804,7480,1779,2485,1270,180,1867,33808
Bente,8426,5240,336,1130,3080,8354,2268,2821,1196,170,308,33329
Birgit,7980,5627,342,1366,3283,8132,1791,2838,1306,165,482,33312
Tove,7861,4972,292,1279,3010,8222,2361,2979,1328,248,252,32804
Flemming,10400,5286,380,1115,3089,6680,1607,2496,1304,166,208,32731
Edith,7591,4502,471,1307,3020,7848,2472,2603,1069,549,736,32168
Ruth,6570,5324,486,1473,3278,7002,2151,2850,1050,341,1107,31632
Kaj,6571,5091,393,1434,3458,7355,2863,2332,1312,468,297,31574
Mads,5121,5113,214,532,2957,8594,2330,3728,1566,200,671,31026
Kathrine,1990,2647,281,563,3060,9037,3450,4896,2519,531,1458,30432
Pia,8905,4758,215,752,2582,6692,1373,2117,1286,48,683,29411
Lone,7452,3944,236,730,2712,7888,1921,2496,1460,84,315,29238
Christine,4887,4056,309,678,1773,4212,1904,1585,7022,689,1562,28677
Camilla,6828,5420,235,546,2503,6704,1609,2425,1078,103,759,28210
Emilie,7981,5276,364,905,2559,5409,1562,1535,675,481,1412,28159
Leif,7683,4343,252,1022,2472,6492,1603,2386,1156,193,416,28018
Jytte,7265,4265,293,943,2630,6812,2017,2278,1141,152,87,27883
Jette,6971,3992,245,814,2476,7447,1986,2385,1191,96,165,27768
Torben,6836,4218,273,859,2830,7070,1510,2507,1284,120,202,27709
Kurt,6263,4883,223,1139,2911,6294,1727,2472,1049,193,478,27632
Birgitte,7570,4413,528,971,2167,6410,1625,2169,963,154,552,27522
Mogens,7453,4725,453,1156,3248,5017,1849,1678,649,199,213,26640
Helene,4543,4345,397,933,2193,4757,1560,1877,2791,383,2597,26376
Bodil,3993,4181,359,1356,2425,6779,2333,2779,1080,324,725,26334
Julie,6065,5128,236,673,2561,6295,1328,2002,795,238,989,26310
Steen,8765,4570,176,678,2385,5762,1110,1716,668,75,300,26205
Jacob,4909,4637,216,493,2157,6688,1576,2375,1608,243,1028,25930
Henry,4690,3981,332,853,2122,6878,2502,2624,809,615,504,25910
Lis,7937,3615,320,944,2274,6060,1460,1781,1119,146,149,25805
Ove,4790,4362,368,1325,2989,6321,1544,2391,738,362,416,25606
Katrine,3850,4027,286,657,2683,6972,2071,2729,759,275,1264,25573
Lise,6525,3898,277,914,2498,6260,1860,2019,607,140,498,25496
Ulla,6950,3785,290,656,2608,5739,1282,2166,1254,135,603,25468
Bjarne,6134,3734,263,953,2439,5919,1833,2574,1225,133,237,25444
Finn,6812,3889,372,731,2406,6016,1508,1897,1258,139,307,25335
Claus,6510,4029,250,636,2564,6203,1236,2042,1402,87,348,25307
Gitte,5361,3887,259,650,2297,6762,1840,2499,1308,69,230,25162
Ingeborg,5405,5350,370,1446,2490,3882,1658,1272,1232,770,1280,25155
Eva,6244,3474,252,948,1964,5328,1428,2075,805,228,2101,24847
Tina,6050,3923,217,631,2194,6120,1371,2339,1335,26,611,24817
Preben,7100,3570,314,958,2330,5780,1461,1836,1004,178,149,24680
Bo,7203,4413,151,740,2454,5268,1208,1643,844,66,534,24524
Gudrun,5184,4196,263,1045,2239,6262,1889,1759,444,450,658,24389
Irene,4434,4394,657,1073,2433,4486,2178,2530,815,164,865,24029
Otto,5251,3752,373,980,2303,4545,1565,1592,880,642,1857,23740
Mikkel,5320,4742,162,425,1858,6161,1419,2043,861,24,604,23619
Cecilie,4761,4261,247,600,2150,5515,1286,1957,1400,189,1151,23517
Allan,6937,2988,211,566,2091,5422,1232,2304,1146,75,480,23452
Carsten,5929,3420,255,638,2129,5643,1316,2263,1292,91,275,23251
Ane,1313,2412,56,294,1206,7160,2287,3545,453,930,2980,22636
Christina,5876,4190,142,530,1914,5089,1021,1706,885,38,1179,22570
Vibeke,7286,3395,291,518,1943,5541,1136,1476,544,92,297,22519
Ingrid,3380,3428,238,738,2179,5003,1959,2608,1364,310,1282,22489
Jakob,3880,3102,174,369,1702,5792,1221,2296,1070,132,2679,22417
Marius,1870,3053,78,937,4011,6182,1641,1933,989,728,942,22364
Johan,5043,2545,245,600,1336,5126,1813,1422,1055,516,2660,22361
Brian,4699,3427,239,658,1977,5750,1300,2462,1109,32,491,22144
Annette,6955,3758,192,593,1860,4979,1067,1528,694,81,416,22123
Ida,5503,3846,137,543,1693,4962,1487,1644,895,284,1071,22065
Egon,3381,3517,137,756,1818,6081,2255,2503,1086,259,163,21956
Rikke,3878,3851,155,421,2001,6392,1453,2354,1090,15,345,21955
Holger,3818,3370,366,814,1772,5628,1771,1912,1016,523,484,21474
Emma,3986,3186,194,459,1618,5367,1745,2121,851,356,1446,21329
Alfred,3300,3514,343,884,2394,4926,1912,1874,697,755,602,21201
Laura,3920,3990,171,497,2261,4934,1514,1909,710,488,767,21161
Mathias,3475,3649,482,412,1739,5444,1480,1957,1241,85,1016,20980
Viggo,4048,3983,255,635,2073,4916,1432,2116,614,504,207,20783
Daniel,4505,3579,145,428,1702,4564,1122,1712,859,86,1930,20632
Jonas,4021,3806,182,389,1683,5032,1290,2020,796,23,1341,20583
Simon,3358,3484,180,347,1884,5760,1262,2177,861,79,1184,20576
Karin,4913,2764,123,595,1764,5024,864,1717,1339,115,1284,20502
Valdemar,5059,4236,431,1020,2141,3668,1557,1013,390,599,351,20465
Agnes,3525,3008,370,881,1700,5093,1897,1918,408,651,873,20324
Aksel,2650,3481,334,762,2652,5282,1787,2168,441,463,252,20272
Erna,3238,3684,171,830,2045,4994,1662,1810,600,386,717,20137
Gunnar,3559,2513,409,729,1808,5227,1864,2155,800,313,740,20117
Mary,2724,2945,166,664,2335,5144,1676,2143,625,501,1179,20102
Pernille,5128,3730,205,427,1542,4781,1156,1789,816,11,484,20069
Mathilde,3711,3102,264,465,2012,4690,1523,1980,953,375,724,19799
Anette,4389,2669,219,434,1795,5122,1369,2248,1000,47,294,19586
Aase,4098,2492,283,670,1691,5840,1869,1642,531,171,150,19437
Kasper,3517,3455,123,331,1683,5484,1332,1817,751,14,553,19060
Lykke,4122,3468,118,422,2178,4896,1050,1966,457,68,203,18948
Dorthe,3184,2659,153,417,1779,4873,1398,1788,895,64,1645,18855
Lisbeth,4766,2834,223,439,1586,4687,1540,1799,514,66,383,18837
Astrid,3366,2877,217,724,1924,4612,1485,1617,842,355,790,18809
Helga,2214,3232,296,466,1368,4820,1700,1783,1166,499,1014,18558
Verner,2474,3766,271,1132,1948,4362,1517,2069,583,240,120,18482
Esther,3463,2895,377,723,2068,4348,1632,1451,322,287,655,18221
Vilhelm,5419,3470,360,914,1497,3001,1053,1017,317,556,614,18218
Frank,5438,2318,168,371,1448,4666,996,1307,680,102,608,18102
Heidi,3799,3128,177,422,1481,4509,1103,1852,815,19,526,17831
Signe,2642,2519,142,316,1400,5475,1548,2301,752,167,538,17800
Georg,5037,2577,271,702,1366,3500,1172,1116,653,465,770,17629
Line,2701,2967,136,318,1626,5339,1318,1906,850,15,420,17596
Inga,2676,2180,139,482,1213,5462,1938,2222,598,166,463,17539
Amalie,4048,3037,139,441,1414,3898,1064,1192,544,233,1448,17458
Jensine,1261,2390,155,414,1219,5931,2213,1828,533,616,690,17250
Henriette,3987,2841,129,483,1426,3725,964,1484,934,230,833,17036
Dorthea,1745,2241,270,617,1662,4342,1719,2001,1277,486,465,16825
Helge,4758,3989,217,1192,2158,1922,613,853,561,244,303,16810
Kenneth,4741,3051,136,483,1713,3269,716,1474,563,26,501,16673
Erling,3316,3263,142,442,1738,3903,1264,1515,655,169,199,16606
Villy,2998,2917,263,715,1482,4367,1345,1879,225,246,58,16495
Elise,2789,3324,200,624,2402,2930,1557,1085,683,305,559,16458
Merete,4518,3172,379,691,2048,2980,948,921,503,63,186,16409
