name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Jensen,69664,78964,4834,11803,34728,133440,49770,48169,13201,6702,9206,460470
Nielsen,72782,78993,3919,11603,41766,122798,41038,45325,12750,6453,9224,446646
Hansen,70916,81597,5994,18036,58853,67491,14904,29439,19827,6181,8980,382215
Pedersen,36386,38875,3368,7622,27158,82180,28767,33212,5307,3324,4820,271012
Andersen,44968,43168,2984,6466,28197,69066,22330,21412,7630,3566,5292,255078
Christensen,31002,26241,835,4919,15056,57057,26839,22149,9354,3051,3812,200309
Larsen,40232,49248,2121,7711,23391,31484,20283,10943,3469,2807,4692,196375
Sørensen,25513,22477,622,2724,11988,69082,18489,19696,5976,2493,3525,182581
Rasmussen,27444,25993,1111,9942,28155,41750,5056,7788,3804,2487,3504,157032
Petersen,33908,36505,840,6157,13095,26329,5049,8066,14356,3097,6644,154041
Jørgensen,27549,26599,1721,7398,21355,30712,7649,11263,7466,2385,3209,147301
Madsen,13983,13085,965,2925,13493,28304,8371,15170,3175,1394,1923,102787
Kristensen,8889,8769,342,1168,5279,33126,11530,16038,1886,888,1917,89832
Olsen,21974,27822,1980,4216,6170,10019,3631,2829,1194,1442,4214,85490
Christiansen,11818,13098,417,2376,6224,11504,5096,4369,3124,961,1502,60489
Thomsen,7717,4666,194,668,3416,16139,10479,8012,4084,704,1490,57568
Poulsen,8019,6187,406,1131,4028,15089,5336,6459,1066,750,2359,50830
Johansen,10453,9037,576,1859,5965,11196,3024,3370,1832,749,1976,50037
Knudsen,6726,5086,325,1199,6831,13335,2795,6682,2082,635,1440,47136
Mortensen,7729,7074,1135,1768,4124,12988,3387,4901,1260,628,1081,46074
Møller,8566,4825,612,963,3136,14656,3286,3747,3159,667,2372,45989
Jacobsen,8682,6185,419,1219,3434,9619,2702,3050,2996,764,1457,40526
Jakobsen,5871,5589,243,1159,3396,12258,3113,4816,1105,371,1452,39373
Olesen,3463,2002,106,271,1357,12237,5222,6328,1061,352,711,33110
Frederiksen,7042,6951,297,1633,3153,7005,2145,1835,911,537,1342,32851
Mikkelsen,3928,2484,217,536,2075,14185,3022,4287,939,426,675,32773
Henriksen,5746,5326,212,1131,3378,5932,1630,2418,597,382,610,27362
Laursen,2968,1604,74,230,1287,15882,981,2613,495,316,437,26886
Lund,4686,2105,644,554,2009,5813,959,2961,2618,278,816,23442
Schmidt,3801,1783,67,191,1403,4777,565,3033,5861,294,1024,22797
Eriksen,3589,2727,107,873,3225,6528,1882,1833,599,298,588,22249
Holm,4631,2383,1312,497,1400,5104,1235,2062,1648,259,818,21348
Kristiansen,2467,3890,153,528,1824,5947,1874,2323,355,231,1433,21025
Clausen,3363,2428,192,1165,2678,3438,817,1918,2940,297,531,19767
Simonsen,3051,1804,81,402,1555,5912,2041,2054,706,214,771,18591
Svendsen,4008,3017,657,456,1065,4496,1928,1622,406,273,524,18452
Andreasen,3200,2946,115,504,1440,4672,1892,1910,376,210,384,17649
Iversen,2065,1231,76,159,1180,4833,1189,2811,1735,188,416,15883
Jeppesen,2316,2111,57,402,1871,3579,1358,2108,379,184,250,14615
Mogensen,2253,1509,908,334,1067,4930,730,1254,263,185,393,13826
Jespersen,2060,1472,241,162,1414,3981,1034,1731,635,172,258,13160
Nissen,1592,782,24,115,925,2514,263,1881,4248,190,454,12988
Lauridsen,1207,715,13,123,590,2491,418,6346,572,108,220,12803
Frandsen,1915,1681,57,277,1055,4410,958,1453,466,143,260,12675
Østergaard,1430,893,33,174,527,4991,1564,2174,397,139,257,12578
Jepsen,1176,787,18,152,757,3167,972,3074,1838,138,283,12362
Kjær,1866,889,103,105,483,3764,1127,1770,780,112,253,11252
Carlsen,2802,2104,174,359,1079,2419,841,628,257,195,256,11114
Vestergaard,1249,781,16,99,466,4205,1659,1818,235,106,250,10884
Jessen,1463,689,37,91,675,1936,194,2041,2955,128,525,10734
Nørgaard,1341,708,22,109,447,3522,1898,1522,572,120,224,10485
Dahl,1902,1067,243,91,482,3157,1046,1021,414,115,576,10114
Christoffersen,2283,2284,158,471,1362,1882,647,469,181,154,211,10102
Skov,1402,904,126,388,1162,3150,498,1147,746,118,195,9836
Søndergaard,1241,746,31,71,463,3283,1859,1361,272,87,196,9610
Bertelsen,1290,766,68,101,540,2897,1245,1548,546,111,200,9312
Bruun,2226,1012,34,321,624,1821,608,1255,466,99,214,8680
Lassen,1692,751,104,66,406,2925,446,626,1275,119,239,8649
Bach,1030,499,20,49,228,4155,835,807,95,90,144,7952
Gregersen,1137,624,73,155,571,2647,1100,897,385,87,186,7862
Friis,1737,926,23,353,474,2013,189,805,686,90,184,7480
Johnsen,1431,764,93,156,262,2406,362,838,455,97,478,7342
Steffensen,1200,786,19,185,510,2192,1057,630,294,104,158,7135
Kjeldsen,845,525,68,32,368,3077,756,886,201,76,147,6981
Bech,1313,617,399,156,431,2175,636,687,137,91,322,6964
Krogh,1070,665,17,159,442,2382,794,496,524,85,189,6823
Lauritsen,774,545,16,89,661,2021,650,1585,227,80,147,6795
Danielsen,1310,867,13,341,553,1852,315,594,281,101,523,6749
Mathiesen,1390,916,27,138,573,1203,151,832,1032,119,291,6672
Andresen,1202,642,22,150,364,886,147,564,2094,95,266,6432
Brandt,1604,785,205,121,764,1055,138,287,283,51,781,6074
Winther,1361,722,17,230,398,1917,422,428,279,80,176,6030
Toft,998,420,17,58,291,1517,862,1024,570,64,143,5964
Ravn,1044,590,13,95,410,1880,247,693,764,68,138,5942
Mathiasen,775,673,9,97,339,1659,494,1171,123,71,128,5539
Dam,982,454,518,27,316,1531,494,776,128,89,204,5519
Holst,1263,698,31,70,443,1482,493,368,408,69,147,5472
Nilsson,2289,880,101,189,293,658,190,206,87,93,466,5452
Lind,1536,549,360,62,358,1269,144,601,322,57,137,5395
Berg,1690,587,20,95,344,1156,278,423,372,61,286,5312
Schou,1450,606,339,93,283,1448,214,414,115,74,128,5164
Overgaard,706,343,16,45,189,2100,787,749,92,48,88,5163
Kristoffersen,649,1023,188,86,406,1595,390,278,108,53,376,5152
Schultz,1435,678,12,93,350,943,143,578,649,82,167,5130
Klausen,716,668,105,153,555,1549,418,667,119,64,104,5118
Karlsen,749,685,104,129,501,1244,399,473,76,42,695,5097
Paulsen,693,406,57,44,181,773,132,327,2089,68,224,4994
Hermansen,822,711,110,127,439,1571,283,572,111,65,122,4933
Thorsen,948,645,375,205,282,1241,361,424,165,50,232,4928
Koch,1240,511,104,268,263,1151,244,406,424,44,175,4830
Thygesen,752,490,13,70,578,1552,127,741,268,50,167,4808
Bak,596,265,21,46,203,2203,761,455,104,40,89,4783
Kruse,991,468,83,186,471,1291,81,546,226,55,308,4706
Bang,1072,485,22,119,569,1207,384,473,120,70,128,4649
Juhl,791,344,28,39,267,1108,60,624,1208,52,111,4632
Davidsen,876,583,8,130,299,1016,167,480,343,51,678,4631
Berthelsen,682,580,9,79,235,918,349,358,46,48,1281,4585
Nygaard,720,393,49,64,317,1389,490,900,141,31,83,4577
Lorentzen,1252,625,37,146,277,998,170,407,383,57,220,4572
Villadsen,508,288,10,59,155,1604,806,725,105,47,214,4521
Lorenzen,470,253,10,52,247,604,84,371,2140,59,215,4505
Damgaard,609,360,15,84,285,1248,269,1106,217,39,104,4336
Bjerregaard,843,324,83,96,186,1450,527,505,139,39,107,4299
Lange,1037,407,7,61,395,871,105,353,362,53,631,4282
Hedegaard,528,291,8,24,174,1615,562,804,154,33,81,4274
Bendtsen,898,978,204,63,429,737,204,465,73,44,107,4202
Lauritzen,918,477,19,50,285,945,145,327,842,53,139,4200
Svensson,1449,679,44,335,357,612,114,123,109,57,282,4161
Justesen,543,444,0,135,362,1676,427,305,83,63,68,4110
Juul,862,390,97,157,420,1484,163,249,124,58,96,4100
Beck,771,400,15,60,277,754,229,516,817,42,181,4062
Hald,599,301,90,66,188,1676,459,470,106,28,80,4062
Kofoed,820,546,1814,56,134,350,84,92,40,33,84,4053
Søgaard,519,314,5,59,342,1540,372,674,94,44,89,4051
Munk,686,421,260,198,242,1439,390,216,80,38,76,4046
Meyer,1333,474,5,106,244,843,185,270,275,57,253,4045
Kjærgaard,567,298,6,43,209,1200,390,1011,179,21,68,3992
Riis,709,286,288,36,157,1084,533,448,293,33,92,3959
Johannsen,409,208,7,35,154,556,61,205,1965,73,235,3908
Carstensen,790,528,18,109,232,650,109,189,988,59,176,3848
Bonde,489,369,19,283,317,1161,132,309,656,38,70,3843
Ibsen,816,482,33,337,243,1018,109,525,126,49,76,3814
Fischer,1322,456,10,46,335,803,126,278,170,59,160,3765
Andersson,1544,516,68,122,274,424,115,139,110,52,386,3750
Bundgaard,461,289,13,44,162,1500,491,531,129,30,68,3718
Aagaard,750,325,7,48,556,1074,234,382,178,38,90,3682
Johannesen,593,343,11,91,161,1192,303,590,44,51,248,3627
Eskildsen,486,288,11,35,172,1296,202,555,386,49,143,3623
Hemmingsen,869,1643,18,245,226,219,66,61,92,40,49,3528
Andreassen,559,419,44,76,267,1108,217,318,45,35,430,3517
Thomassen,520,292,7,45,137,1695,133,251,55,41,310,3486
Schrøder,978,484,18,55,159,762,147,205,474,38,136,3456
Persson,1519,561,66,87,253,354,64,138,59,56,281,3438
Hjorth,846,483,197,49,233,1007,179,227,86,43,76,3426
Enevoldsen,488,394,27,20,199,1123,198,738,125,41,73,3425
Nguyen,139,34,0,0,282,427,141,88,53,33,2206,3403
Henningsen,792,376,11,180,549,595,73,289,325,43,146,3379
Jønsson,1438,428,43,57,173,577,84,146,132,46,184,3307
Olsson,1339,560,173,119,177,307,97,105,48,53,250,3228
Asmussen,469,231,0,16,174,697,91,238,1136,37,131,3224
Michelsen,934,326,32,102,264,662,184,193,324,62,135,3218
Vinther,470,322,12,101,126,1384,354,285,55,38,70,3216
Markussen,465,352,53,13,210,1036,187,292,181,35,382,3205
Kragh,632,426,18,185,143,995,254,311,123,44,47,3178
Thøgersen,473,301,56,31,109,1059,518,412,61,36,56,3112
Johansson,1144,489,34,184,203,383,86,128,57,51,336,3095
Dalsgaard,409,237,12,50,80,1628,261,248,44,23,72,3064
Gade,338,214,0,38,147,1001,719,466,59,24,52,3062
Bjerre,522,238,11,39,120,1019,247,693,92,17,58,3056
Ali,567,177,0,13,95,311,26,60,0,61,1737,3052
Laustsen,275,243,5,26,107,1647,295,299,59,42,42,3040
Buch,628,357,13,91,402,899,59,273,179,32,67,3000
Ludvigsen,652,692,13,131,239,420,134,159,239,39,259,2977
Hougaard,418,278,10,49,148,1616,102,198,42,26,48,2935
Kirkegaard,347,183,9,32,216,1108,181,679,48,33,57,2892
Marcussen,510,328,22,98,286,686,83,199,339,29,199,2779
Mølgaard,347,186,0,29,108,916,362,423,71,16,311,2771
Ipsen,629,350,1007,38,109,241,43,99,161,18,67,2762
Sommer,700,413,200,109,151,739,91,159,34,20,134,2750
Ottosen,504,320,6,244,268,545,178,327,85,32,219,2728
Müller,814,423,67,30,134,367,61,114,359,42,301,2712
Krog,378,221,8,149,332,629,391,315,199,23,66,2711
Hoffmann,893,360,14,72,169,581,70,225,147,36,143,2710
Clemmensen,570,291,23,107,306,641,219,375,70,39,67,2708
Nikolajsen,286,346,0,46,312,807,153,538,47,27,123,2687
Brodersen,408,266,0,12,183,408,58,304,916,24,104,2684
Therkildsen,284,178,0,17,141,1324,154,308,69,25,93,2596
Leth,480,204,8,48,153,1188,111,242,46,24,76,2580
Michaelsen,686,433,0,86,141,430,318,189,181,33,79,2579
Graversen,255,188,6,6,107,834,150,880,45,28,49,2548
Frost,448,212,20,59,117,680,461,222,231,30,66,2546
Dalgaard,351,203,0,11,114,876,345,534,47,21,40,2545
Albertsen,408,200,10,34,536,645,309,262,39,31,53,2527
Laugesen,269,259,0,37,222,700,67,727,148,26,59,2517
Due,513,321,118,247,230,639,48,132,144,41,48,2481
Ebbesen,401,184,23,21,156,842,40,515,203,23,61,2469
Munch,554,285,597,32,97,479,176,120,30,23,67,2460
Svenningsen,351,182,15,24,69,1028,497,190,30,26,48,2460
Ottesen,488,178,8,126,258,568,468,210,45,31,47,2427
Fisker,250,158,0,22,96,1180,199,186,133,29,146,2401
Albrechtsen,582,533,0,86,104,519,162,121,98,42,111,2360
Axelsen,412,187,5,33,164,847,377,176,82,18,51,2352
Erichsen,683,219,22,53,137,401,81,130,457,48,107,2338
Sloth,319,193,10,27,149,896,426,199,52,11,56,2338
Bentsen,618,429,35,102,123,564,229,88,55,27,57,2327
Westergaard,495,250,12,31,203,490,218,204,314,37,65,2319
Bisgaard,389,167,8,11,107,941,392,143,49,20,66,2293
Nicolaisen,454,278,5,53,193,432,58,158,555,23,81,2290
Magnussen,520,313,21,30,209,549,116,87,146,33,258,2282
Thuesen,329,197,5,15,176,821,62,418,179,32,34,2268
Povlsen,398,217,32,35,235,662,264,310,55,30,29,2267
Thorup,557,181,0,12,156,790,147,275,77,25,44,2266
Høj,264,223,0,158,236,632,117,459,97,28,37,2252
Bentzen,779,375,38,74,136,493,56,116,52,24,107,2250
Johannessen,547,517,8,58,197,399,74,214,34,33,165,2246
Vilhelmsen,606,373,30,44,325,467,99,163,61,26,49,2243
Bendixen,490,207,0,34,164,752,86,263,147,21,62,2229
Isaksen,247,157,0,54,187,519,402,189,30,33,407,2229
Ovesen,346,186,12,34,193,801,308,235,46,24,41,2226
Villumsen,527,489,21,27,118,552,119,226,44,17,85,2223
Lindberg,637,283,35,19,98,546,42,291,98,22,136,2207
Thomasen,312,256,10,14,70,1034,96,274,42,27,60,2195
Kjærsgaard,374,209,6,15,152,834,238,246,44,19,46,2183
Buhl,321,228,14,9,182,918,45,284,102,29,47,2179
Kofod,545,230,882,20,76,243,51,45,13,14,48,2167
Ahmed,642,55,0,0,54,125,16,27,0,18,1214,2157
Smith,658,308,5,118,215,281,66,143,67,35,260,2156
Storm,517,218,13,53,762,332,47,83,58,17,49,2149
Christophersen,708,560,7,51,145,373,105,45,36,26,77,2133
Bruhn,460,207,0,66,156,370,45,134,567,33,84,2124
Matthiesen,216,134,0,20,194,320,16,216,914,14,75,2120
Wagner,863,290,15,102,115,280,95,64,128,27,111,2090
Bjerg,257,133,0,31,136,446,181,789,51,19,40,2087
Gram,530,194,6,16,150,360,52,256,429,27,64,2084
Nedergaard,209,130,0,11,90,1025,292,212,41,23,46,2078
Dinesen,433,335,0,31,409,348,75,235,129,34,41,2071
Mouritsen,262,156,13,20,145,783,319,259,31,29,53,2070
