name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Møller,4238,3579,295,561,3824,14739,4826,4657,1117,215,626,38677
Lund,2950,2964,307,458,2645,6451,1207,3481,910,96,338,21807
Holm,3021,2968,593,374,1752,5482,1892,1940,731,79,311,19143
Jensen,1111,989,192,435,944,7483,2733,2647,1645,304,256,18739
Juul,3286,2437,236,512,2245,5211,1081,1359,233,79,208,16887
Nielsen,1053,896,130,450,1140,6364,1859,2255,1187,243,329,15906
Kjær,1850,1499,86,146,1246,5766,1331,2424,451,64,169,15032
Hansen,996,1102,283,963,2067,2857,526,1710,3335,263,310,14412
Skov,1494,1666,101,286,1626,3843,493,1622,430,46,108,11715
Østergaard,1247,974,13,75,802,4710,1312,2135,264,38,88,11658
Vestergaard,1018,1227,24,76,727,4256,1782,2069,248,51,119,11597
Nørgaard,1148,808,11,47,542,4182,2094,2158,314,45,107,11456
Dahl,1392,1359,173,87,763,3965,1317,1378,297,42,220,10993
Bach,1218,952,45,73,419,4939,1131,864,148,38,131,9958
Friis,1928,1346,16,593,591,3168,227,1222,496,74,116,9777
Søndergaard,864,901,9,55,534,3129,1317,1476,181,18,81,8565
Andersen,744,530,103,191,747,2932,1099,1042,882,111,146,8527
Bech,1251,898,154,130,664,3178,669,1177,181,35,140,8477
Pedersen,535,377,111,388,621,3307,1250,1376,274,88,58,8385
Bruun,1572,1329,25,284,777,2205,597,890,271,30,82,8062
Nygaard,961,1056,19,80,603,2787,567,1587,136,19,75,7890
Winther,1393,1094,35,193,616,2625,738,478,152,16,115,7455
Bang,1192,911,14,131,825,2203,1144,713,161,32,106,7432
Krogh,1047,766,52,164,723,2992,677,596,231,33,112,7393
Schmidt,873,905,29,81,648,2275,196,1244,837,23,140,7251
Christensen,534,293,14,168,383,2765,931,1026,934,75,55,7178
Hedegaard,736,537,18,24,390,2933,661,1254,138,21,70,6782
Toft,800,615,11,50,436,2013,893,1184,358,29,58,6447
Damgaard,691,654,23,76,602,2342,240,1242,255,9,52,6186
Holst,1183,983,8,75,572,2059,561,422,245,23,50,6181
Sørensen,356,220,25,31,229,3223,710,786,440,75,71,6166
Juhl,897,693,20,70,496,2136,297,890,533,18,73,6123
Munk,1053,797,151,151,450,1906,779,604,114,29,80,6114
Skovgaard,911,1471,213,97,693,1715,224,548,157,23,62,6114
Søgaard,835,774,45,95,468,2124,415,846,86,15,51,5754
Aagaard,793,901,11,79,782,1738,354,747,203,16,80,5704
Berg,974,732,53,98,655,1604,514,656,162,34,93,5575
Dam,800,663,248,48,491,1862,589,553,124,24,87,5489
Petersen,512,444,30,329,283,1080,152,477,1797,86,280,5470
Lind,841,873,80,51,679,1604,268,759,150,13,92,5410
Overgaard,628,464,7,42,278,2383,673,702,95,17,54,5343
Brandt,1104,841,192,256,676,1294,216,333,114,23,177,5226
Larsen,517,507,92,329,607,1005,858,464,147,64,228,4818
Bak,483,317,10,50,250,2142,736,470,68,12,50,4588
Schou,1220,883,148,71,298,1233,154,333,72,18,36,4466
Vinther,434,378,7,78,253,2045,724,408,93,16,28,4464
Bjerregaard,601,466,29,38,179,1810,445,677,97,16,53,4411
Riis,786,442,124,43,239,1513,427,588,143,12,64,4381
Bundgaard,494,292,10,40,236,1929,648,579,58,17,34,4337
Kruse,658,593,44,145,370,1312,270,653,98,23,76,4242
Mølgaard,439,381,0,43,282,1600,543,720,107,10,86,4212
Hjorth,863,605,423,70,209,1394,210,257,106,14,48,4199
Ravn,725,487,13,77,315,1585,184,419,204,17,73,4099
Madsen,252,189,39,69,413,1173,430,813,562,56,42,4038
Rasmussen,313,271,18,432,762,1508,73,175,174,57,81,3864
Jørgensen,308,216,41,296,459,943,227,426,801,44,80,3841
Kristensen,161,113,8,39,167,1714,593,705,72,42,71,3685
Bonde,391,528,15,92,363,1242,164,467,254,15,52,3583
Bay,676,636,76,46,373,1304,103,238,58,17,55,3582
Hougaard,510,357,0,40,269,1905,201,167,56,10,19,3537
Dalsgaard,404,335,21,18,185,1862,211,331,87,9,40,3503
Kjærgaard,407,316,16,21,185,1199,362,873,84,9,26,3498
Haugaard,442,291,16,84,442,1202,497,287,134,10,29,3434
Munch,679,471,368,63,203,887,307,207,50,11,57,3303
Bjerre,539,343,0,27,189,1228,209,627,83,11,35,3293
Due,746,457,220,166,333,860,59,238,126,25,42,3272
Sloth,390,275,16,74,109,1301,380,415,61,14,38,3073
Leth,552,318,0,96,202,1432,112,248,40,5,46,3053
Kofoed,702,502,1091,119,118,253,58,116,43,9,34,3045
Thomsen,216,156,19,19,166,838,426,587,496,38,56,3017
Kragh,568,410,18,108,209,1059,300,154,76,13,50,2965
Højgaard,452,468,9,27,259,1068,141,397,36,7,69,2933
Dalgaard,336,347,9,29,240,966,230,644,53,14,21,2889
Hjort,545,518,51,24,265,907,109,274,124,10,26,2853
Kirkegaard,275,307,6,11,196,1105,149,712,54,5,15,2835
Bøgh,417,454,0,61,242,1030,254,260,52,13,24,2810
Beck,532,357,0,49,212,666,204,342,365,16,59,2804
Nissen,291,187,14,11,180,529,36,436,1046,36,24,2790
Rask,355,247,5,53,264,1090,193,452,39,19,53,2770
Høj,281,190,0,119,225,914,123,778,86,17,21,2758
Brix,489,536,0,51,144,721,571,140,58,14,31,2756
Storm,524,398,0,41,785,465,67,237,41,10,48,2619
Buch,586,422,5,61,239,799,46,253,93,12,18,2534
Bisgaard,244,164,0,18,167,1289,343,237,40,5,26,2533
Birch,630,668,71,46,221,501,140,186,28,10,19,2520
Gade,395,242,0,15,112,778,322,518,108,10,18,2519
Kjærsgaard,347,273,10,24,173,1050,334,235,35,7,25,2513
Hald,335,333,26,27,131,1041,266,244,51,7,27,2488
Lindberg,455,317,41,16,284,697,144,350,115,7,34,2460
Høgh,258,276,0,22,90,1263,208,237,36,11,28,2431
Falk,500,435,58,62,278,599,122,226,109,8,17,2414
Koch,578,388,63,157,202,648,107,152,81,0,30,2409
Thorup,371,235,8,30,197,1006,221,238,54,10,26,2396
Borup,397,230,12,22,145,988,238,302,32,11,15,2392
Knudsen,189,89,14,23,186,908,256,376,254,31,63,2389
Vedel,462,567,6,68,340,571,72,216,53,5,27,2387
Poulsen,185,132,10,25,127,790,481,349,121,28,123,2371
Juel,597,465,17,28,318,571,114,172,32,6,43,2363
Bøgelund,412,534,0,44,428,672,38,180,25,12,18,2363
Frost,326,307,9,60,122,654,440,237,160,7,25,2347
Hvid,307,284,10,91,109,1070,170,212,53,7,31,2344
Bjerg,285,239,0,15,209,497,161,777,74,5,25,2291
Bæk,242,165,10,18,261,822,336,352,65,6,13,2290
Elkjær,321,370,0,23,165,953,42,268,108,11,22,2286
Hartmann,592,488,5,55,199,458,282,104,33,6,39,2261
Kirk,272,228,0,5,265,557,246,556,41,0,33,2209
Sand,298,139,0,20,99,722,284,561,46,10,25,2205
Sommer,433,254,85,52,121,785,78,254,51,12,67,2192
Skou,367,453,11,43,192,741,68,238,31,7,27,2178
Nedergaard,203,162,8,0,114,1087,246,260,41,7,23,2153
Meldgaard,277,155,0,6,89,836,44,680,40,6,18,2151
Brink,325,215,11,33,166,531,92,584,155,5,31,2148
Lindegaard,399,537,0,74,474,381,99,104,36,11,13,2128
Fischer,605,293,11,18,240,572,97,179,48,10,29,2102
Rye,659,332,12,41,185,541,141,79,22,11,27,2050
Hoffmann,505,417,0,36,176,481,76,245,70,8,28,2046
Daugaard,298,416,0,12,105,696,71,356,44,8,25,2035
Gram,410,234,0,16,130,509,265,205,191,6,29,1999
Johansen,181,151,11,43,115,599,124,284,353,28,100,1989
Meyer,482,406,13,59,145,466,140,167,69,14,27,1988
Schultz,415,283,0,49,156,536,86,262,150,7,33,1981
Fogh,295,199,9,25,109,1010,76,133,94,6,21,1977
Bloch,433,262,10,17,130,529,87,426,46,5,24,1969
Lundgaard,208,173,12,13,93,913,88,387,44,5,21,1957
Brøndum,271,193,0,22,111,1063,139,122,20,0,10,1955
Jessen,155,88,7,21,109,428,39,315,689,26,73,1950
Busk,229,208,16,29,125,935,100,210,48,10,36,1946
Holmgaard,173,265,7,23,100,810,126,341,61,0,18,1926
Lindholm,282,443,11,15,498,335,60,179,69,7,25,1924
Krog,237,215,23,59,307,445,221,316,71,5,21,1920
Egelund,365,547,10,30,283,446,43,94,40,15,22,1895
Engelbrecht,564,292,6,29,170,401,155,218,29,7,22,1893
Buus,229,107,27,9,55,1081,203,119,28,6,23,1887
Korsgaard,181,201,6,5,178,624,313,311,44,0,19,1886
Ellegaard,267,323,10,17,412,569,36,135,82,0,16,1870
Tang,327,100,5,6,117,599,52,605,26,7,21,1865
Steen,511,343,14,79,200,375,161,114,30,7,20,1854
Kvist,220,162,7,0,61,948,114,247,44,15,27,1847
Olsen,261,260,90,131,128,258,100,120,53,22,421,1844
Nørregaard,306,247,73,26,387,489,88,146,55,0,20,1841
Fuglsang,183,87,7,0,137,687,477,131,104,9,18,1840
Wulff,597,339,45,26,133,493,47,93,33,9,23,1838
Damsgaard,185,197,0,18,137,796,330,117,26,0,20,1829
Hauge,232,207,0,0,180,736,55,337,45,0,23,1822
Sonne,478,359,431,15,89,249,48,74,43,5,23,1814
Skytte,269,217,10,106,325,556,48,226,24,6,26,1813
Brun,290,246,10,51,208,409,204,320,31,9,21,1799
Kronborg,266,215,0,7,109,606,286,224,52,5,22,1795
Abildgaard,278,171,13,19,190,620,260,182,25,13,15,1786
Fabricius,426,260,0,63,132,375,87,235,120,9,40,1747
Bille,684,409,7,101,91,281,31,63,28,16,29,1740
Skaarup,227,246,0,10,107,606,243,228,33,0,34,1739
Rahbek,235,156,16,0,123,530,35,569,36,6,26,1734
Borg,298,204,7,60,202,438,67,348,70,7,26,1727
Torp,451,316,9,10,77,515,148,134,35,0,25,1724
Klitgaard,203,175,8,10,61,768,347,111,19,0,18,1722
Nørskov,154,133,0,17,101,865,94,277,42,6,22,1714
Greve,257,217,5,12,328,659,26,85,55,6,23,1673
Hviid,314,272,0,27,139,589,64,158,80,0,14,1660
Mørch,358,181,0,10,112,502,226,151,22,0,75,1645
Buhl,264,123,0,14,113,778,30,208,79,8,24,1641
Rohde,245,249,9,9,108,704,50,179,61,5,19,1638
Mørk,254,167,0,14,253,507,226,123,57,10,19,1634
Vendelbo,332,306,8,40,56,458,97,275,32,10,9,1623
Bjørn,491,256,0,43,177,453,62,59,43,0,25,1617
Laursen,126,75,0,18,56,1031,42,185,39,16,9,1597
Egede,411,398,28,16,78,175,30,33,13,8,404,1594
Rytter,224,141,0,23,100,786,185,100,12,0,14,1589
Lehmann,306,358,0,23,74,440,120,186,60,5,11,1587
Guldberg,221,248,9,56,105,381,76,403,41,8,13,1561
Rosendahl,339,210,11,41,106,444,55,181,132,5,26,1550
Krarup,248,168,7,18,83,509,82,341,49,0,22,1531
Krogsgaard,196,184,5,0,89,409,314,278,33,0,13,1528
Westergaard,277,317,10,14,152,387,88,177,81,0,19,1525
Rosendal,268,229,0,38,120,503,202,114,21,0,13,1514
Fisker,115,134,8,0,90,880,98,103,52,0,27,1514
Højer,298,211,6,12,98,412,251,168,35,5,10,1506
Rosenberg,382,230,9,94,130,343,29,86,147,12,25,1487
Svane,381,200,8,0,132,406,123,82,114,7,21,1478
Storgaard,189,117,0,0,60,643,139,278,23,5,15,1474
Pihl,400,303,113,22,351,164,19,36,30,0,11,1451
Mohamed,192,52,0,0,47,210,22,34,5,28,850,1443
Bülow,417,297,6,6,95,383,78,100,34,5,15,1436
Birk,237,274,28,17,144,402,86,163,41,0,26,1420
Hammer,328,142,36,21,75,451,180,104,38,0,38,1416
Bro,159,138,0,13,109,478,163,292,23,0,26,1408
Kaas,383,242,73,37,109,333,51,114,25,10,30,1407
Clausen,124,87,26,14,152,256,66,174,473,14,19,1405
Nymann,252,199,0,88,131,440,141,114,20,0,14,1403
Egholm,353,456,5,30,90,266,25,108,20,5,39,1397
Ingemann,439,389,12,34,144,211,48,62,17,0,36,1396
Haahr,125,78,24,30,85,287,9,657,62,0,34,1392
Olesen,113,46,0,26,22,540,207,306,105,8,18,1391
Nøhr,270,350,5,37,64,415,130,66,26,0,15,1381
Brinch,238,90,0,29,85,372,81,423,32,0,24,1380
Bjerring,303,268,5,0,127,502,64,67,11,9,17,1377
Christiansen,129,119,7,74,92,404,163,121,228,21,14,1372
Schrøder,254,295,35,45,67,380,103,72,93,0,20,1367
Guldager,206,269,21,21,98,319,89,266,35,8,32,1364
Skjødt,175,104,0,7,33,842,100,77,10,0,7,1358
Højlund,283,239,0,42,132,466,35,111,19,0,21,1354
Ørum,198,129,6,13,105,488,163,196,18,0,33,1353
Weber,264,236,5,18,338,211,33,134,80,0,21,1343
Bødker,165,95,0,12,117,633,126,130,39,0,16,1341
de,475,186,0,15,141,255,52,83,14,0,107,1333
Bruhn,287,256,0,38,76,375,33,81,162,0,20,1332
Stampe,313,171,0,10,109,330,84,270,12,7,16,1322
Astrup,186,150,0,11,60,484,67,315,28,0,16,1320
Schack,349,174,5,0,68,302,34,227,137,9,10,1319
Mikkelsen,101,45,17,6,54,522,219,222,100,14,18,1318
Høyer,317,235,15,34,116,290,106,107,59,15,21,1315
Husted,144,75,6,14,80,374,31,506,59,9,15,1313
Skriver,150,100,0,0,46,704,111,106,71,0,13,1311
Lindgaard,95,128,0,36,93,627,198,86,29,0,10,1305
Yde,156,72,0,13,58,410,421,131,26,5,12,1304
Sylvest,461,544,11,20,91,88,6,40,14,6,13,1294
Lykkegaard,106,75,24,0,235,502,136,160,31,0,17,1290
Ploug,360,194,0,117,284,157,26,78,26,12,12,1269
Gammelgaard,130,85,0,5,77,560,60,290,40,0,6,1260
Pilgaard,85,104,0,6,55,502,149,308,35,0,12,1260
Brogaard,177,189,0,17,80,260,193,286,29,5,17,1254
Degn,171,117,0,39,123,441,112,159,70,0,18,1253
Kaae,265,202,8,15,124,441,89,65,7,0,19,1239
Kofod,270,196,449,28,57,122,12,62,31,0,7,1236
Grønbæk,224,208,5,0,105,282,86,255,35,6,16,1225
Lundsgaard,180,252,0,13,173,352,78,139,12,5,14,1219
Rømer,337,266,151,48,31,177,84,85,22,0,12,1216
Lyng,296,394,8,12,43,155,142,114,36,0,12,1216
Bagge,272,415,0,65,87,218,57,40,25,7,28,1216
Kjeldgaard,154,145,0,35,61,454,235,104,17,0,0,1212
Hovgaard,155,205,0,26,234,429,45,94,6,0,12,1211
Groth,317,203,0,36,317,189,23,70,24,6,23,1209
Hyldgaard,85,104,5,7,27,374,245,325,27,0,0,1203
Ladefoged,67,85,0,14,77,705,77,132,25,0,11,1194
Jacobsen,157,82,13,14,60,369,56,141,258,17,19,1186
Linde,194,183,0,5,184,382,48,158,9,0,17,1183
Lange,193,150,5,18,100,350,30,162,56,0,116,1183
Stokholm,167,115,0,10,109,307,108,309,43,9,5,1182
Bredahl,384,248,0,6,78,260,73,86,16,7,17,1177
Hein,332,217,0,16,178,271,30,90,18,10,13,1175
Mose,85,55,0,0,201,161,264,372,12,0,15,1170
Bækgaard,104,146,17,5,49,440,57,329,11,0,7,1166
Sandberg,235,135,11,9,155,443,22,88,44,6,13,1161
Klarskov,288,663,0,8,49,58,16,51,6,8,8,1155
Kamp,175,123,8,0,107,286,24,390,16,5,11,1149
Green,205,351,9,46,65,147,112,186,14,0,10,1147
Iversen,93,42,0,0,77,314,138,175,258,14,28,1144
Riber,215,91,6,11,122,256,9,344,77,0,9,1143
Smedegaard,108,108,0,0,47,400,54,362,40,0,6,1134
Nyholm,201,138,0,0,80,377,169,122,23,0,13,1133
Vad,93,57,0,8,50,348,143,400,18,7,5,1132
Balle,108,74,5,0,106,545,114,115,28,6,22,1126
Strøm,229,132,0,7,62,386,195,74,12,0,25,1124
Kjeldsen,112,62,0,10,41,618,111,122,29,6,9,1124
Borch,373,250,0,13,65,227,13,133,26,0,14,1119
Lerche,291,250,13,72,57,314,12,52,30,8,17,1116
Grønlund,268,175,0,74,167,249,46,79,26,11,15,1110
Vestergård,60,106,0,8,92,384,147,280,20,0,5,1108
Østergård,54,104,0,14,83,382,152,261,38,9,8,1105
Nyborg,121,96,0,19,82,428,141,183,14,0,12,1101
Qvist,180,171,0,6,44,451,49,125,37,0,36,1100
Damkjær,159,138,0,0,78,378,26,224,69,0,18,1097
Kold,192,126,0,0,127,360,171,80,22,0,9,1093
Sønderskov,143,111,0,56,109,440,50,124,24,0,20,1082
Bank,74,82,0,0,29,363,22,468,20,0,14,1078
Lyhne,187,102,0,0,36,215,129,358,33,0,8,1074
Hove,153,76,0,7,46,233,446,86,10,0,14,1074
Nybo,199,199,30,0,76,224,38,273,0,0,19,1066
Foged,115,116,0,32,142,512,60,62,15,0,10,1066
Jepsen,56,38,0,7,46,222,48,277,354,12,6,1066
Blicher,213,144,7,14,95,467,38,59,11,0,13,1064
Sønderby,80,104,0,0,81,325,33,421,8,0,9,1064
Jakobsen,76,59,0,18,66,440,81,134,125,0,57,1064
Funch,321,220,192,49,62,111,0,69,14,0,16,1061
Roed,141,168,6,15,85,490,31,60,37,0,22,1059
Holt,145,96,0,0,25,432,87,194,61,7,7,1057
Malling,335,171,0,13,155,264,56,21,15,0,18,1054
Høegh,291,142,12,36,58,303,66,68,19,0,49,1048
Lassen,88,71,6,22,56,324,99,109,241,12,17,1045
Duus,194,132,5,24,161,256,41,76,129,0,23,1044
Lynggaard,122,140,0,18,57,371,152,129,30,0,14,1040
From,279,144,6,19,104,258,44,82,78,6,16,1036
Stougaard,172,100,6,11,109,401,38,168,13,0,13,1034
Boye,233,205,0,14,136,277,29,65,47,0,18,1030
Neergaard,226,187,0,12,37,385,109,43,10,6,13,1028
Højbjerg,155,129,0,10,75,248,100,284,12,0,13,1028
Valentin,275,243,14,31,119,216,16,66,33,0,11,1026
Odgaard,122,104,0,0,68,303,302,88,11,0,10,1018
Søby,137,86,5,0,36,489,13,225,8,0,12,1016
Hede,125,95,7,5,68,397,55,214,34,0,7,1011
Nørgård,58,71,0,0,56,339,181,259,31,0,9,1011
Søe,121,143,0,0,26,290,245,148,23,0,10,1010
Fog,286,274,0,35,105,151,34,55,50,8,9,1007
Smed,73,45,0,10,32,478,231,107,10,6,13,1005
Boel,148,74,0,0,49,416,109,166,13,0,18,999
Smith,237,193,0,24,64,218,59,133,22,6,39,996
Norup,223,121,0,0,19,504,28,69,12,0,10,995
Bagger,176,212,0,15,41,356,48,110,23,0,10,995
Munkholm,164,163,10,7,35,391,104,86,21,0,11,995
Eriksen,89,62,9,15,103,320,155,103,89,13,35,993
Vester,102,73,0,5,52,483,114,138,14,0,8,992
Rosenkilde,196,166,0,45,50,324,87,69,41,0,8,991
Mortensen,73,60,24,43,79,321,144,117,106,10,14,991
Würtz,147,67,0,0,42,568,37,103,12,0,7,987
Ahmed,138,28,0,8,61,132,13,43,0,22,535,984
Aarup,117,82,6,9,30,447,55,174,41,0,16,980
Bergmann,216,202,22,34,97,211,57,67,33,0,26,969
Højmark,90,112,9,21,154,213,181,158,19,0,7,968
Stensgaard,127,78,0,29,66,371,99,174,9,5,7,965
Thrane,206,162,0,14,208,220,42,72,27,0,6,961
Krag,223,112,15,39,120,292,53,28,52,8,18,960
Egebjerg,99,201,9,0,118,287,6,211,0,5,18,960
Slot,141,106,5,22,94,184,56,288,54,0,7,959
Rønne,270,192,126,35,65,118,71,55,17,0,7,957
Dybdal,154,130,10,0,71,346,151,69,9,0,12,954
Moesgaard,101,95,0,6,43,300,32,341,19,0,13,951
Wedel,246,172,9,9,113,259,25,79,16,8,13,949
Junker,98,79,8,0,92,273,18,228,134,0,11,947
Høeg,259,122,0,8,56,313,29,57,78,0,13,941
Mejer,121,127,0,63,73,306,144,88,8,0,5,941
Rosenlund,105,61,11,24,216,348,51,71,27,8,18,940
Tolstrup,178,132,6,7,96,339,69,81,24,0,6,939
Skovlund,132,246,0,7,252,190,29,48,30,0,0,939
Blom,242,196,7,31,110,196,20,87,36,0,10,938
Quist,136,116,0,10,85,421,35,76,32,6,15,932
Kirkeby,166,119,0,0,93,201,33,292,8,0,11,928
Guldhammer,119,52,0,0,70,400,224,44,0,0,9,928
Rønn,145,60,0,6,48,140,54,442,14,0,13,924
Harbo,122,56,6,0,62,377,127,124,24,0,17,918
Bering,188,149,0,0,80,299,150,22,0,0,18,917
Kastrup,243,228,0,16,90,269,13,23,19,0,9,914
Nørby,141,59,0,0,82,164,39,390,24,0,9,913
Vind,156,94,0,0,69,231,23,283,39,0,8,909
Brøgger,127,80,0,6,71,507,24,60,13,0,11,907
Kromann,181,96,12,72,275,176,18,45,12,0,15,904
Worm,254,239,0,11,60,167,83,55,6,5,17,898
Pagh,172,103,0,0,75,368,43,116,10,0,6,898
Bjerrum,110,61,0,8,50,301,19,276,51,0,17,898
Lyngholm,122,50,0,6,34,372,98,172,29,0,5,889
Frølund,142,83,0,12,59,174,13,379,14,5,0,888
Lindskov,166,143,0,6,144,236,11,139,12,0,27,887
Staal,201,113,0,0,174,171,59,130,15,0,18,884
Dalby,136,104,0,30,29,444,14,81,23,0,10,877
Ladegaard,70,56,0,0,66,504,14,101,50,0,11,875
Salling,158,105,0,9,31,442,40,45,27,0,7,868
Nymark,114,117,0,0,108,254,174,41,40,8,5,868
Lundberg,251,282,27,79,18,143,20,36,5,0,6,867
Falck,239,174,10,36,68,148,23,102,42,0,19,864
Normann,223,181,11,17,79,168,82,76,16,0,6,860
Baltzer,165,173,0,20,103,277,42,60,8,0,10,859
Vallentin,181,328,5,11,69,186,9,33,20,0,13,857
Buur,139,88,0,0,85,218,17,283,15,0,6,856
Kramer,123,68,0,0,48,466,39,68,29,0,8,855
Søndergård,50,58,0,0,61,252,123,257,35,0,10,855
Grøn,130,118,0,0,30,373,101,56,30,5,7,853
Dupont,178,72,0,0,172,343,10,40,23,0,7,852
Nørager,299,102,7,0,88,210,37,51,43,0,10,849
Johnsen,97,67,6,0,33,376,29,136,50,0,48,847
Melgaard,69,71,0,11,44,462,101,74,10,0,0,846
Rønnow,211,135,8,8,91,270,23,76,7,0,12,845
Frank,128,109,0,0,39,378,35,69,55,0,21,845
Sander,243,147,0,26,91,206,35,62,13,0,17,844
Ørskov,135,99,0,7,51,129,21,377,13,0,8,843
Bugge,216,91,6,0,48,390,15,50,0,0,16,839
Lillelund,96,88,0,0,104,189,91,240,13,0,13,839
Dyhr,153,110,5,32,107,297,35,59,27,0,12,838
Drejer,95,120,30,22,102,343,73,33,12,0,6,837
Ring,209,174,0,20,53,283,46,29,10,0,6,836
Harboe,170,107,34,14,100,270,32,44,43,0,19,835
Mosegaard,80,116,0,0,99,295,51,152,23,0,0,824
Hjortshøj,92,55,5,0,36,525,40,33,14,5,5,813
Bitsch,113,115,0,12,22,367,23,132,10,0,9,809
Illum,154,109,0,8,315,133,20,34,18,0,14,806
Grønkjær,72,84,6,0,33,254,167,163,16,0,6,805
