name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Marie,30280,37212,3435,6287,24618,68876,26088,28522,19640,5993,8992,259943
Anna,14103,15340,1096,3317,10946,30927,9778,12868,6008,3494,6626,114503
Margrethe,16597,17117,1975,3796,9909,24897,9455,8576,5342,1597,2780,102041
Karen,13434,14113,785,3333,9191,20083,7262,8077,2055,1848,3139,83320
Kirstine,5828,9514,262,1657,9656,24548,7064,11923,1456,1674,627,74209
Kirsten,17634,10047,777,2255,5975,16994,4850,5620,2732,554,1295,68733
Johanne,9909,10528,660,3243,7061,14690,6668,6516,2802,1828,3192,67097
Elisabeth,13484,10961,1295,2133,5278,14013,5553,5118,2466,931,4571,65803
Else,12618,9474,689,2335,5737,14080,5143,5492,1706,984,1653,59911
Anne,11482,8347,358,1444,5441,14088,3760,5345,6351,518,2144,59278
Inger,11447,8285,870,2100,4993,14163,4665,4999,1557,763,1208,55050
Mette,9284,6950,257,904,3901,16164,3885,6830,2852,404,1491,52922
Louise,11168,9279,669,1308,4406,11356,3370,4024,2070,364,3544,51558
Maria,10805,7590,258,985,3788,9580,2347,3565,2858,360,8201,50337
Ellen,10117,7624,784,2366,5795,11374,4119,3450,1464,1036,1196,49325
Kristine,5200,10247,1019,1869,3896,10907,6730,5053,1035,1003,1885,48844
Hanne,12270,6848,451,1376,4545,12601,3410,4170,1931,217,669,48488
Sofie,8524,11999,569,1426,4236,9431,2369,2875,1310,855,3407,47001
Inge,11574,7742,438,1941,5014,9903,2108,2632,1412,319,502,43585
Susanne,10924,6395,408,1191,3693,9080,2225,3295,1669,131,1852,40863
Helle,9303,5600,305,867,3087,10530,2709,3390,1480,88,314,37673
Grethe,8952,6016,380,1422,3512,9128,2972,3282,697,330,546,37237
Marianne,10793,5696,358,1061,3311,7892,1461,2766,1551,146,1459,36494
Lene,7646,5177,399,946,3374,9876,2606,3619,1365,111,411,35530
Gerda,6122,5402,260,1051,2781,9514,2941,3474,1138,574,862,34119
Birthe,8894,5372,346,1120,3072,7524,2480,2563,1218,283,960,33832
Charlotte,9349,5507,293,794,2803,7480,1779,2485,1270,180,1866,33806
Bente,8426,5240,336,1130,3080,8353,2268,2821,1196,170,307,33327
Birgit,7980,5627,342,1366,3283,8132,1791,2838,1306,165,482,33312
Tove,7861,4972,292,1279,3010,8222,2361,2979,1328,247,252,32803
Edith,7590,4502,471,1307,3020,7847,2472,2603,1069,549,736,32166
Ruth,6563,5322,486,1472,3272,7001,2130,2850,1050,341,1107,31594
Kathrine,1990,2647,281,563,3060,9037,3450,4896,2519,530,1458,30431
Pia,8905,4758,215,752,2582,6692,1373,2117,1286,48,683,29411
Lone,7451,3944,236,730,2712,7888,1921,2496,1460,84,315,29237
Christine,4887,4056,309,678,1773,4212,1904,1585,7022,689,1562,28677
Camilla,6828,5420,235,546,2503,6704,1609,2425,1078,103,759,28210
Emilie,7981,5276,364,905,2559,5409,1562,1535,675,481,1412,28159
Jytte,7265,4265,293,943,2630,6812,2017,2278,1141,152,87,27883
Jette,6971,3992,245,814,2475,7447,1986,2385,1191,96,165,27767
Birgitte,7570,4413,528,971,2167,6410,1625,2169,963,154,552,27522
Helene,4543,4345,397,933,2193,4757,1560,1877,2791,383,2597,26376
Bodil,3993,4181,359,1356,2425,6779,2333,2779,1080,324,725,26334
Julie,6065,5128,236,673,2561,6295,1328,2002,795,238,989,26310
Lis,7937,3615,320,944,2274,6060,1460,1781,1119,146,149,25805
Katrine,3850,4027,286,657,2683,6972,2071,2729,759,275,1264,25573
Lise,6525,3898,277,914,2498,6260,1860,2019,607,140,498,25496
Ulla,6950,3785,290,656,2608,5739,1282,2166,1254,135,603,25468
Gitte,5361,3887,259,650,2297,6762,1840,2499,1308,69,230,25162
Ingeborg,5405,5350,369,1446,2490,3882,1658,1272,1232,770,1280,25154
Eva,6244,3474,252,948,1964,5328,1428,2075,805,228,2101,24847
Tina,6050,3923,217,631,2194,6120,1371,2339,1335,26,611,24817
