name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Jensen,33578,36958,2373,5965,17329,63486,23554,23021,7013,3220,6422,222914
Nielsen,35174,37238,1989,5895,20414,58725,19828,21794,6758,3101,6536,217448
Hansen,33842,37785,2889,8457,27251,34363,8111,14881,9690,2988,6168,186423
Pedersen,17655,18415,1566,3692,12845,38812,13477,15525,3093,1595,3490,130159
Andersen,21681,20691,1442,3263,13468,33272,10800,10774,4048,1761,3732,124932
Christensen,15069,12848,548,2496,7522,27549,12432,10665,4624,1459,2749,97957
Larsen,19214,22439,1096,3702,10917,16438,9488,5863,2080,1352,3220,95807
Sørensen,12453,10904,411,1497,6158,31844,8864,9699,3106,1188,2524,88647
Rasmussen,13219,12572,608,4432,12850,20050,2937,4334,2091,1180,2468,76741
Petersen,16031,17044,487,2970,6560,13493,2856,4411,6625,1555,4000,76030
Jørgensen,13291,12639,840,3450,9842,15298,3935,5728,3660,1189,2232,72102
Madsen,6864,6371,454,1386,6312,13569,4099,6982,1690,667,1405,49798
Kristensen,4464,4371,207,632,2682,15453,5320,7376,1109,402,1247,43263
Olsen,10264,12427,928,1968,3117,5395,1934,1637,737,691,2437,41534
Christiansen,5642,6113,245,1125,2928,5822,2443,2299,1498,468,998,29581
Thomsen,3802,2504,117,351,1851,7919,4642,3805,1929,332,965,28217
Poulsen,3842,3104,188,583,2003,7365,2543,3051,620,353,1341,24993
Johansen,4933,4321,270,857,2848,5530,1547,1724,928,376,1177,24511
Knudsen,3311,2534,182,586,3232,6394,1446,3132,1052,297,905,23071
Møller,4195,2573,285,507,1653,7086,1649,1932,1512,314,1354,23060
Mortensen,3762,3396,519,827,1991,6285,1710,2322,678,301,746,22537
Jacobsen,4192,3051,215,600,1721,4776,1333,1562,1384,367,893,20094
Jakobsen,2914,2644,128,546,1637,5786,1519,2274,602,192,891,19133
Frederiksen,3293,3307,172,774,1527,3486,1093,1007,500,262,790,16211
Mikkelsen,1988,1348,106,298,1090,6657,1423,2070,529,195,463,16166
Olesen,1775,1136,66,150,752,5777,2368,2863,549,148,491,16075
Henriksen,2735,2553,114,555,1622,3005,854,1220,349,178,417,13602
Laursen,1479,896,46,141,725,7121,594,1349,307,159,309,13125
Lund,2322,1159,291,293,1035,2909,552,1432,1214,139,526,11871
Schmidt,1920,1033,38,117,784,2424,330,1490,2568,151,562,11417
Eriksen,1784,1364,72,398,1524,3139,930,927,342,156,359,10995
Holm,2324,1277,560,269,755,2598,623,1057,793,129,493,10877
Kristiansen,1262,1813,78,249,866,2792,909,1085,224,103,760,10141
Clausen,1640,1269,94,530,1284,1840,456,968,1323,154,342,9900
Simonsen,1521,934,52,213,773,2862,984,967,362,102,445,9215
Svendsen,1948,1387,295,252,547,2223,922,803,219,132,356,9084
Andreasen,1556,1394,62,253,699,2299,906,938,224,110,254,8695
Iversen,998,637,40,87,608,2332,613,1311,801,92,266,7785
Jeppesen,1103,1044,34,202,861,1780,640,1048,215,81,185,7193
Mogensen,1176,785,374,156,535,2240,379,606,155,91,273,6770
Jespersen,1038,744,125,100,661,1930,507,846,338,83,199,6571
Nissen,814,470,18,60,473,1301,162,911,1881,92,303,6485
Østergaard,760,492,20,106,303,2384,767,1029,206,70,172,6309
Frandsen,940,828,39,160,533,2058,483,705,242,76,196,6260
Lauridsen,634,392,9,71,340,1327,247,2701,298,57,160,6236
Jepsen,619,446,15,82,432,1570,479,1355,856,65,184,6103
Kjær,967,516,54,62,293,1838,554,850,378,55,172,5739
Carlsen,1341,1049,93,181,549,1227,443,342,149,101,175,5650
Vestergaard,637,397,9,53,262,1991,774,860,146,51,184,5364
Jessen,741,383,25,52,370,1022,123,929,1313,61,333,5352
Nørgaard,696,378,13,65,262,1671,865,728,297,51,165,5191
Dahl,993,546,121,62,274,1547,497,522,219,55,328,5164
Christoffersen,1088,1103,80,221,677,940,333,257,98,71,152,5020
