name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Møller,1956,1570,163,250,1699,6252,1673,1901,450,65,301,16280
Lund,1471,1406,137,191,1303,3004,501,1599,457,36,167,10272
Holm,1463,1353,254,165,818,2480,829,893,350,26,175,8806
Juul,1528,1041,92,224,966,2259,385,588,113,23,93,7312
Kjær,900,694,45,72,602,2660,637,1144,199,23,97,7073
Jensen,457,367,59,159,311,2623,844,784,350,65,130,6149
Skov,764,776,58,141,798,1764,227,766,222,19,58,5593
Østergaard,591,484,9,40,399,2203,569,995,115,13,45,5463
Nielsen,456,356,35,152,395,2321,678,628,225,57,144,5447
Nørgaard,555,388,6,22,262,2012,964,968,142,16,59,5394
Vestergaard,491,533,13,31,368,1985,841,899,124,25,64,5374
Dahl,653,681,82,40,361,1861,596,641,153,15,126,5209
Bach,572,429,20,33,211,2297,511,446,71,12,74,4676
Friis,886,647,8,259,269,1548,99,581,232,26,64,4619
Søndergaard,417,437,0,26,270,1480,602,683,68,6,44,4037
Hansen,385,388,86,343,590,910,171,334,630,44,134,4015
Bruun,778,649,13,156,367,1036,280,448,132,14,40,3913
Bech,596,413,61,63,312,1466,283,554,84,10,66,3908
Nygaard,487,483,13,37,320,1282,249,745,66,10,43,3735
Krogh,510,363,22,84,347,1462,318,275,124,16,55,3576
Bang,568,446,0,63,387,1066,529,343,87,10,51,3554
Winther,683,517,13,96,297,1163,328,225,76,6,65,3469
Schmidt,424,436,16,36,313,1039,99,535,343,8,66,3315
Hedegaard,332,226,9,12,204,1373,293,567,59,11,34,3120
Toft,398,299,6,24,205,945,421,545,176,12,27,3058
Pedersen,218,160,31,157,241,1183,441,476,87,26,37,3057
Andersen,326,209,42,75,255,1099,395,303,188,30,67,2989
Holst,558,494,0,26,268,972,261,217,127,7,28,2961
Munk,505,379,67,80,235,927,365,290,53,12,36,2949
Damgaard,313,291,9,32,295,1107,117,567,116,0,28,2879
Skovgaard,425,680,102,43,331,806,109,244,72,7,30,2849
Søgaard,398,349,20,45,226,965,202,397,33,8,28,2671
Aagaard,364,404,0,29,388,800,150,340,95,9,40,2623
Dam,390,318,106,22,230,881,273,273,63,10,47,2613
Christensen,231,117,11,70,139,1038,360,360,234,23,27,2610
Berg,476,339,25,44,299,746,210,300,89,10,52,2590
Juhl,418,290,10,28,230,893,82,342,231,5,31,2560
Lind,401,394,42,26,309,766,120,366,72,0,62,2560
Brandt,517,409,92,130,320,632,116,153,64,16,86,2535
Overgaard,294,204,0,21,136,1111,307,323,42,0,34,2477
Juel,571,432,17,27,307,546,108,164,32,6,40,2250
Schou,579,421,62,34,157,626,72,165,33,10,22,2181
Bak,228,148,5,28,126,1017,333,228,29,0,30,2176
Sørensen,164,81,12,17,91,1189,228,226,95,19,34,2156
Bjerregaard,301,214,16,19,80,842,207,311,46,7,30,2073
Riis,376,216,55,24,115,680,194,276,69,6,35,2046
Vinther,202,166,0,36,109,934,312,198,51,6,12,2030
Bundgaard,233,130,8,18,111,896,302,278,29,5,16,2026
Mølgaard,224,192,0,17,139,776,259,312,52,0,52,2026
Kruse,316,271,22,78,180,602,132,294,55,10,44,2004
Hjorth,392,281,209,35,107,665,87,114,50,6,26,1972
Ravn,353,204,5,37,165,768,92,193,100,7,44,1968
