name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Peter,27270,25950,1873,3327,10829,36559,12508,9210,12233,3111,7424,150294
Christian,26389,22014,1357,3763,12593,32659,16045,13419,12559,2323,3229,146350
Erik,26506,18130,1491,4446,11342,30316,9268,9775,4011,1080,2142,118507
Jens,12925,16300,1036,2699,7387,33698,12739,14258,4577,2445,3550,111614
Hans,13533,19421,1556,5164,13622,20071,5441,9887,10656,2784,5416,107551
Niels,13172,14164,732,2127,8408,27903,9424,11077,2935,2251,2557,94750
Jørgen,22277,14687,665,3119,10752,20358,6506,7284,5347,1216,2345,94556
Kristian,6138,8773,1119,1316,5294,22580,9203,11847,1289,1206,3333,72098
Henrik,17780,11064,531,1941,5467,15589,4066,5276,2736,416,1225,66091
Poul,13882,11397,824,2869,7701,14945,6438,4818,1048,902,1008,65832
Svend,11245,9791,806,2633,6277,17236,5620,6788,2493,1158,590,64637
Søren,11283,7887,336,1170,4678,21346,5267,7021,2652,801,1524,63965
Aage,10641,8678,932,2140,6302,18171,5332,5737,1926,1273,349,61481
Michael,17456,9728,628,1320,4873,14205,3058,4764,2109,224,2543,60908
Lars,11876,9805,335,1517,5827,15046,4253,5078,2448,537,3292,60014
Ole,15115,9119,946,1721,4115,14065,4806,4880,1474,474,2718,59433
Martin,12106,9585,482,1395,4968,14383,4434,5110,2645,569,2501,58178
Anders,8798,8958,312,1252,5035,15621,4647,5789,1978,775,1543,54708
Thomas,11524,7588,396,903,3775,13320,3870,4978,2537,322,3130,52343
Johannes,6207,8915,1415,2149,6548,10349,4064,4857,2483,1187,3197,51371
Knud,8325,7579,934,2397,4266,12818,4859,4430,1113,856,1439,49016
Jan,14025,6682,385,1167,3809,10535,2482,3750,1887,203,1858,46783
Emil,10923,8119,560,1186,4171,10297,3560,3343,1011,631,1295,45096
John,14178,5937,360,1369,3610,9006,2103,2810,1322,359,3082,44136
Bent,9640,6279,467,1620,4655,10703,2866,4072,2176,286,416,43180
Karl,4447,6360,726,1782,4582,10447,3569,3770,1408,1149,4718,42958
Carl,10146,7315,463,1844,4773,8001,2816,2438,2238,1494,1108,42636
Henning,8712,6586,549,1319,4370,11319,3093,4136,1430,364,455,42333
Per,11721,5547,308,1171,3110,11093,3286,3247,1346,221,889,41939
Frederik,8720,8609,361,1292,3609,8664,2209,2828,1522,630,2165,40609
Rasmus,6190,6804,245,1346,5555,12090,2028,2885,1657,495,878,40173
Morten,7811,6352,306,1005,3439,11047,2761,3744,1838,109,728,39140
Andreas,6507,5257,1668,881,2735,8140,2633,3722,3284,551,2306,37684
Jesper,8527,6265,351,848,3308,9731,2381,3680,1636,68,472,37267
Arne,7187,5641,533,1237,4012,9029,2908,3778,1236,391,922,36874
Kim,10116,5568,308,860,2799,7870,1676,2891,1635,92,1063,34878
Børge,7614,5470,460,1640,3582,8508,2737,2739,688,480,123,34041
Peder,1819,3597,172,1150,5254,8606,2579,8955,725,943,194,33994
Flemming,10400,5286,380,1115,3089,6680,1607,2496,1304,166,208,32731
Kaj,6571,5091,393,1434,3458,7355,2863,2332,1312,468,297,31574
Mads,5121,5113,214,532,2957,8594,2330,3728,1566,200,671,31026
Leif,7683,4343,252,1022,2472,6492,1603,2386,1156,193,416,28018
Torben,6833,4218,273,859,2830,7070,1510,2506,1283,120,202,27704
Kurt,6263,4883,223,1139,2911,6294,1727,2472,1049,193,478,27632
Mogens,7453,4725,453,1156,3248,5017,1849,1678,649,199,213,26640
Steen,8765,4570,176,678,2385,5762,1110,1716,668,75,300,26205
Jacob,4909,4637,216,493,2157,6688,1576,2375,1608,243,1028,25930
Henry,4690,3981,332,853,2122,6878,2502,2624,809,615,504,25910
