name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Jensen,36086,42006,2461,5838,17399,69954,26216,25148,6188,3482,2784,237556
Nielsen,37608,41755,1930,5708,21352,64073,21210,23531,5992,3352,2688,229198
Hansen,37074,43812,3105,9579,31602,33128,6793,14558,10137,3193,2812,195792
Pedersen,18731,20460,1802,3930,14313,43368,15290,17687,2214,1729,1330,140853
Andersen,23287,22477,1542,3203,14729,35794,11530,10638,3582,1805,1560,130146
Christensen,15933,13393,287,2423,7534,29508,14407,11484,4730,1592,1063,102352
Larsen,21018,26809,1025,4009,12474,15046,10795,5080,1389,1455,1472,100568
Sørensen,13060,11573,211,1227,5830,37238,9625,9997,2870,1305,1001,93934
Rasmussen,14225,13421,503,5510,15305,21700,2119,3454,1713,1307,1036,80291
Petersen,17877,19461,353,3187,6535,12836,2193,3655,7731,1542,2644,78011
Jørgensen,14258,13960,881,3948,11513,15414,3714,5535,3806,1196,977,75199
Madsen,7119,6714,511,1539,7181,14735,4272,8188,1485,727,518,52989
Kristensen,4425,4398,135,536,2597,17673,6210,8662,777,486,670,46569
Olsen,11710,15395,1052,2248,3053,4624,1697,1192,457,751,1777,43956
Christiansen,6176,6985,172,1251,3296,5682,2653,2070,1626,493,504,30908
Thomsen,3915,2162,77,317,1565,8220,5837,4207,2155,372,525,29351
Poulsen,4177,3083,218,548,2025,7724,2793,3408,446,397,1018,25837
Johansen,5520,4716,306,1002,3117,5666,1477,1646,904,373,799,25526
Knudsen,3415,2552,143,613,3599,6941,1349,3550,1030,338,535,24065
Mortensen,3967,3678,616,941,2133,6703,1677,2579,582,327,335,23537
Møller,4371,2252,327,456,1483,7570,1637,1815,1647,353,1018,22929
Jacobsen,4490,3134,204,619,1713,4843,1369,1488,1612,397,564,20432
Jakobsen,2957,2945,115,613,1759,6472,1594,2542,503,179,561,20240
Olesen,1688,866,40,121,605,6460,2854,3465,512,204,220,17035
Frederiksen,3749,3644,125,859,1626,3519,1052,828,411,275,552,16640
Mikkelsen,1940,1136,111,238,985,7528,1599,2217,410,231,212,16607
Laursen,1489,708,28,89,562,8761,387,1264,188,157,128,13761
Henriksen,3011,2773,98,576,1756,2927,776,1198,248,204,193,13760
Lund,2364,946,353,261,974,2904,407,1529,1404,139,290,11571
Schmidt,1881,750,29,74,619,2353,235,1543,3293,143,462,11380
Eriksen,1805,1363,35,475,1701,3389,952,906,257,142,229,11254
Kristiansen,1205,2077,75,279,958,3155,965,1238,131,128,673,10884
Holm,2307,1106,752,228,645,2506,612,1005,855,130,325,10471
Clausen,1723,1159,98,635,1394,1598,361,950,1617,143,189,9867
Simonsen,1530,870,29,189,782,3050,1057,1087,344,112,326,9376
Svendsen,2060,1630,362,204,518,2273,1006,819,187,141,168,9368
Andreasen,1644,1552,53,251,741,2373,986,972,152,100,130,8954
Iversen,1067,594,36,72,572,2501,576,1500,934,96,150,8098
Jeppesen,1213,1067,23,200,1010,1799,718,1060,164,103,65,7422
Mogensen,1077,724,534,178,532,2690,351,648,108,94,120,7056
Jespersen,1022,728,116,62,753,2051,527,885,297,89,59,6589
Lauridsen,573,323,0,52,250,1164,171,3645,274,51,60,6567
Nissen,778,312,6,55,452,1213,101,970,2367,98,151,6503
Frandsen,975,853,18,117,522,2352,475,748,224,67,64,6415
Østergaard,670,401,13,68,224,2607,797,1145,191,69,85,6269
Jepsen,557,341,0,70,325,1597,493,1719,982,73,99,6259
Vestergaard,612,384,7,46,204,2214,885,958,89,55,66,5520
Kjær,899,373,49,43,190,1926,573,920,402,57,81,5513
Carlsen,1461,1055,81,178,530,1192,398,286,108,94,81,5464
Jessen,722,306,12,39,305,914,71,1112,1642,67,192,5382
Nørgaard,645,330,9,44,185,1851,1033,794,275,69,59,5294
Christoffersen,1195,1181,78,250,685,942,314,212,83,83,59,5082
Dahl,909,521,122,29,208,1610,549,499,195,60,248,4950
Skov,676,403,64,202,597,1639,221,575,413,64,51,4905
Søndergaard,595,363,14,28,212,1664,1006,691,119,37,47,4776
Bertelsen,631,367,32,44,243,1502,684,826,279,61,55,4724
Lassen,841,328,47,29,168,1551,199,311,683,50,78,4285
Bruun,1134,462,10,170,300,875,295,637,239,58,53,4233
Gregersen,551,276,35,67,290,1432,581,476,203,36,62,4009
Bach,485,215,5,18,84,2174,404,394,35,40,50,3904
Johnsen,756,368,44,65,111,1259,165,409,234,53,224,3688
Friis,868,425,7,187,207,1001,72,407,377,44,50,3645
Steffensen,597,379,7,80,263,1122,585,323,143,53,45,3597
Kjeldsen,423,235,33,14,164,1625,365,454,74,42,55,3484
Lauritsen,365,257,5,42,341,1068,338,888,93,37,42,3476
Bech,631,276,221,82,195,1088,319,345,64,50,127,3398
Danielsen,661,418,0,174,296,940,145,296,131,55,254,3373
Mathiesen,715,451,10,60,285,592,60,444,576,62,111,3366
Krogh,507,313,0,75,212,1232,407,235,273,41,64,3360
Andresen,605,297,0,73,175,400,65,266,1192,55,105,3236
Toft,488,171,6,26,115,719,464,558,316,32,51,2946
Ravn,500,289,6,43,193,960,104,348,417,30,39,2929
Winther,644,326,5,114,179,974,199,212,139,40,54,2886
Brandt,772,370,101,57,370,501,61,122,134,23,367,2878
Mathiasen,389,353,0,45,150,865,236,631,55,28,36,2791
Dam,468,200,289,10,137,767,240,414,45,51,75,2696
Nilsson,1236,419,44,91,125,260,73,88,47,48,237,2668
Holst,647,303,13,31,203,748,248,165,210,41,56,2665
Lind,766,253,210,30,155,620,69,305,171,25,40,2644
Kristoffersen,317,545,113,46,198,811,201,126,42,31,174,2604
Karlsen,381,349,62,68,280,594,209,250,29,25,341,2588
Klausen,358,337,59,71,286,803,214,328,55,35,38,2584
Berg,863,268,9,40,159,550,116,225,186,31,128,2575
Overgaard,360,155,5,11,71,1067,401,381,38,26,24,2539
Schultz,727,323,0,45,166,457,51,290,369,42,59,2530
Paulsen,339,175,22,17,69,363,57,158,1176,40,98,2514
Schou,713,295,184,40,125,735,88,195,48,33,45,2501
Hermansen,401,366,59,64,224,835,133,302,46,29,42,2501
Thorsen,494,294,225,100,116,640,179,216,77,21,81,2443
Bak,274,114,13,20,83,1177,413,213,47,20,23,2397
Koch,613,227,59,145,106,585,117,204,226,25,84,2391
Thygesen,336,227,0,32,303,786,52,402,145,28,64,2379
Berthelsen,357,280,0,37,119,448,165,183,23,22,670,2305
Davidsen,439,290,0,60,143,496,75,240,175,28,356,2304
Kruse,471,211,44,94,247,663,26,277,97,26,126,2282
Villadsen,243,134,0,30,65,824,415,395,47,25,87,2268
Juhl,380,144,10,13,125,530,14,324,659,31,36,2266
Nygaard,355,168,26,29,138,694,259,483,63,16,23,2254
Lorentzen,640,295,14,70,130,484,65,210,204,25,101,2238
Lorenzen,225,104,6,18,97,273,37,158,1186,28,87,2219
Bang,528,210,8,59,285,551,176,253,59,33,40,2202
Bendtsen,473,532,121,32,223,343,101,260,31,25,33,2174
Damgaard,309,165,0,49,129,626,134,588,112,19,35,2170
Hedegaard,252,138,0,8,75,845,306,412,65,18,25,2146
Bjerregaard,422,130,42,48,74,759,297,240,65,20,36,2133
Svensson,734,332,16,197,176,302,50,54,46,22,151,2080
Lange,502,186,0,30,203,395,44,153,201,28,329,2074
Lauritzen,443,214,7,22,126,477,66,168,478,27,43,2071
Justesen,253,198,0,72,177,884,232,137,44,29,23,2051
Hald,291,117,49,32,71,867,242,254,55,16,26,2020
Beck,385,185,8,25,126,370,108,263,444,19,86,2019
Kofoed,392,258,1051,20,58,137,21,23,14,14,23,2011
Søgaard,235,146,0,24,168,789,191,359,43,18,32,2005
Johannsen,191,103,0,14,55,243,26,86,1134,38,103,1993
Munk,300,208,164,109,122,724,184,94,39,19,26,1989
Juul,413,182,47,80,210,751,70,100,58,29,33,1973
Kjærgaard,267,145,0,20,90,567,212,547,83,11,22,1965
Carstensen,428,282,8,55,107,313,45,78,549,30,64,1959
Meyer,701,199,0,40,113,367,86,129,153,34,105,1927
Ibsen,410,231,17,193,104,530,49,275,62,21,29,1921
Bonde,217,174,6,155,166,565,58,153,373,22,19,1908
Riis,329,107,149,10,68,539,281,221,151,19,33,1907
Johannesen,290,155,0,46,71,630,151,335,22,25,122,1849
Andersson,819,237,42,59,122,168,42,62,49,32,201,1833
Fischer,658,211,0,16,175,389,52,130,83,35,76,1827
Eskildsen,250,136,0,15,73,666,100,294,195,27,53,1811
Bundgaard,219,120,6,20,55,763,232,287,56,12,24,1794
Thomassen,265,142,0,21,58,940,58,110,25,17,151,1788
Aagaard,372,136,0,14,296,537,98,189,89,18,25,1775
Andreassen,273,212,20,43,142,566,109,159,12,20,218,1773
Nguyen,78,17,0,0,140,220,69,46,23,10,1141,1744
Hemmingsen,417,884,0,136,110,75,28,19,35,23,11,1740
Enevoldsen,220,211,12,7,87,568,95,408,62,19,32,1721
Ali,309,86,0,7,48,154,15,31,0,33,1014,1699
Persson,800,256,38,43,120,138,22,69,26,24,143,1679
Henningsen,394,179,0,89,294,277,26,143,185,21,64,1674
Hjorth,403,246,110,17,97,497,90,109,41,24,21,1655
Markussen,241,164,32,5,110,563,93,141,95,17,191,1652
Schrøder,500,223,5,28,57,363,52,86,258,18,55,1645
Olsson,725,264,96,55,98,129,40,39,16,29,125,1616
Asmussen,244,110,0,7,82,333,36,101,631,22,45,1613
Jønsson,774,188,15,22,75,266,30,51,75,21,92,1609
Vinther,221,152,0,46,58,743,179,137,19,17,21,1596
Michelsen,468,159,17,44,123,320,94,99,177,30,54,1585
Thøgersen,254,140,29,11,49,535,285,197,28,18,13,1559
Johansson,617,232,14,101,94,180,30,50,24,27,176,1545
Laustsen,135,108,0,11,47,870,140,154,23,27,14,1530
Kragh,299,197,0,93,63,525,122,140,53,12,12,1520
Dalsgaard,188,114,0,16,33,871,122,111,16,11,26,1512
Gade,144,103,0,17,60,497,384,247,23,12,11,1500
Bjerre,264,102,0,18,39,528,119,374,29,7,14,1497
Ludvigsen,352,359,0,74,102,200,54,78,127,19,119,1487
Buch,300,173,0,51,210,453,17,142,95,16,14,1475
Hougaard,190,133,0,22,64,850,43,95,13,14,17,1444
Kirkegaard,160,79,0,14,107,549,84,377,22,13,15,1424
Ottosen,255,171,0,144,127,270,97,172,53,16,103,1409
Ipsen,304,170,585,12,45,98,9,35,89,11,22,1380
Nikolajsen,135,167,0,25,167,423,78,291,15,13,58,1372
Mølgaard,164,78,0,15,40,466,187,218,32,12,147,1360
Marcussen,265,156,11,47,131,331,34,99,183,17,81,1355
Krog,181,97,0,81,160,317,208,162,106,12,21,1349
Clemmensen,298,125,10,54,153,328,116,189,27,15,27,1342
Brodersen,188,134,0,0,86,187,23,150,496,12,48,1327
Sommer,325,184,104,51,70,373,38,69,11,9,60,1294
Graversen,123,76,0,0,44,426,69,502,21,16,12,1293
Michaelsen,346,213,0,48,59,203,182,102,92,14,24,1286
Therkildsen,139,74,0,8,64,703,71,158,24,12,30,1283
Müller,398,177,34,11,58,158,18,57,196,14,151,1272
Hoffmann,429,177,5,32,64,266,20,119,73,17,63,1265
Frost,219,105,10,29,51,336,251,100,122,16,24,1263
Albertsen,208,83,0,13,286,313,168,136,14,16,20,1258
Laugesen,137,126,0,13,110,354,25,395,73,11,10,1254
Leth,230,87,0,17,67,632,47,119,17,8,24,1252
Dalgaard,162,96,0,0,50,431,180,288,20,10,7,1248
Svenningsen,170,83,8,10,29,534,262,95,12,13,13,1229
Due,248,145,71,133,117,316,21,61,76,25,15,1228
Ebbesen,192,82,11,5,70,422,13,288,109,12,19,1223
Ottesen,247,80,0,73,125,286,232,111,20,15,20,1211
Ahmed,323,30,0,0,27,64,6,16,0,14,725,1210
Albrechtsen,284,288,0,37,55,275,83,59,42,21,49,1193
Fisker,130,62,0,0,36,632,100,82,68,12,65,1189
Sloth,141,82,0,10,66,485,238,95,22,0,27,1171
Vilhelmsen,334,194,18,24,172,236,48,87,30,12,14,1169
Axelsen,222,94,0,13,72,425,198,81,39,12,12,1168
Munch,260,120,336,14,38,222,87,41,14,9,21,1162
Bentsen,329,226,15,55,56,274,110,35,21,19,21,1161
Erichsen,378,93,7,26,63,181,38,65,243,15,40,1149
Johannessen,286,277,0,29,107,197,32,106,12,16,81,1145
Magnussen,282,155,11,18,96,282,51,36,74,17,122,1144
Povlsen,203,104,16,15,122,336,139,163,22,12,0,1136
Nicolaisen,238,137,0,26,90,206,24,72,302,11,27,1134
Thorup,271,73,0,5,84,406,62,151,38,15,14,1119
Westergaard,237,101,0,12,103,240,111,99,169,20,17,1112
Ovesen,185,80,5,14,106,401,170,115,14,11,9,1110
Isaksen,112,73,0,23,99,247,217,100,18,21,199,1110
Bentzen,406,184,19,36,59,248,21,51,28,10,41,1103
Høj,117,98,0,79,115,301,58,254,52,14,7,1096
Kofod,285,97,500,12,37,101,20,16,5,8,14,1095
Thuesen,147,103,0,0,92,422,20,199,88,17,6,1095
Bendixen,251,93,0,12,85,379,39,120,77,8,24,1088
Bisgaard,176,72,0,0,48,475,195,62,23,11,23,1088
Thomasen,149,123,0,0,24,557,41,133,12,15,25,1087
Villumsen,266,248,8,11,55,271,54,117,14,9,34,1086
Matthiesen,95,58,0,6,94,151,0,105,519,8,35,1073
