name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Møller,2282,2009,132,311,2125,8487,3153,2756,667,150,325,22397
Jensen,654,622,133,276,633,4860,1889,1863,1295,239,126,12590
Lund,1479,1558,170,267,1342,3447,706,1882,453,60,171,11535
Nielsen,597,540,95,298,745,4043,1181,1627,962,186,185,10459
Hansen,611,714,197,620,1477,1947,355,1376,2705,219,176,10397
Holm,1558,1615,339,209,934,3002,1063,1047,381,53,136,10337
Juul,1758,1396,144,288,1279,2952,696,771,120,56,115,9575
Kjær,950,805,41,74,644,3106,694,1280,252,41,72,7959
Vestergaard,527,694,11,45,359,2271,941,1170,124,26,55,6223
Østergaard,656,490,0,35,403,2507,743,1140,149,25,43,6195
Skov,730,890,43,145,828,2079,266,856,208,27,50,6122
Nørgaard,593,420,5,25,280,2170,1130,1190,172,29,48,6062
Dahl,739,678,91,47,402,2104,721,737,144,27,94,5784
Andersen,418,321,61,116,492,1833,704,739,694,81,79,5538
Pedersen,317,217,80,231,380,2124,809,900,187,62,21,5328
Bach,646,523,25,40,208,2642,620,418,77,26,57,5282
Friis,1042,699,8,334,322,1620,128,641,264,48,52,5158
Bech,655,485,93,67,352,1712,386,623,97,25,74,4569
Christensen,303,176,0,98,244,1727,571,666,700,52,28,4568
Søndergaard,447,464,5,29,264,1649,715,793,113,12,37,4528
Nygaard,474,573,6,43,283,1505,318,842,70,9,32,4155
Bruun,794,680,12,128,410,1169,317,442,139,16,42,4149
Sørensen,192,139,13,14,138,2034,482,560,345,56,37,4010
Winther,710,577,22,97,319,1462,410,253,76,10,50,3986
Schmidt,449,469,13,45,335,1236,97,709,494,15,74,3936
Bang,624,465,10,68,438,1137,615,370,74,22,55,3878
Krogh,537,403,30,80,376,1530,359,321,107,17,57,3817
Petersen,285,276,20,208,201,710,101,330,1414,64,151,3760
Hedegaard,404,311,9,12,186,1560,368,687,79,10,36,3662
Juhl,479,403,10,42,266,1243,215,548,302,13,42,3563
Toft,402,316,5,26,231,1068,472,639,182,17,31,3389
Damgaard,378,363,14,44,307,1235,123,675,139,5,24,3307
Skovgaard,486,791,111,54,362,909,115,304,85,16,32,3265
Holst,625,489,5,49,304,1087,300,205,118,16,22,3220
Munk,548,418,84,71,215,979,414,314,61,17,44,3165
Larsen,304,331,55,203,404,640,586,339,99,51,118,3130
Søgaard,437,425,25,50,242,1159,213,449,53,7,23,3083
Aagaard,429,497,7,50,394,938,204,407,108,7,40,3081
Madsen,150,129,31,44,303,847,319,638,468,51,28,3008
Berg,498,393,28,54,356,858,304,356,73,24,41,2985
Dam,410,345,142,26,261,981,316,280,61,14,40,2876
Overgaard,334,260,5,21,142,1272,366,379,53,14,20,2866
Lind,440,479,38,25,370,838,148,393,78,11,30,2850
Brandt,587,432,100,126,356,662,100,180,50,7,91,2691
Jørgensen,174,129,23,168,278,634,149,305,631,37,44,2572
Rasmussen,170,189,10,287,505,952,50,116,123,44,37,2483
Vinther,232,212,0,42,144,1111,412,210,42,10,16,2434
Bak,255,169,5,22,124,1125,403,242,39,8,20,2412
Bjerregaard,300,252,13,19,99,968,238,366,51,9,23,2338
Riis,410,226,69,19,124,833,233,312,74,6,29,2335
Bundgaard,261,162,0,22,125,1033,346,301,29,12,18,2311
Schou,641,462,86,37,141,607,82,168,39,8,14,2285
Kristensen,79,58,6,22,111,1075,369,445,45,33,36,2279
Kruse,342,322,22,67,190,710,138,359,43,13,32,2238
Hjorth,471,324,214,35,102,729,123,143,56,8,22,2227
Mølgaard,215,189,0,26,143,824,284,408,55,8,34,2186
Ravn,372,283,8,40,150,817,92,226,104,10,29,2131
Thomsen,135,82,13,10,120,536,291,449,387,30,36,2089
Bonde,212,289,8,43,191,678,96,260,155,11,33,1976
Nissen,154,102,6,5,89,358,25,305,851,31,16,1942
Hougaard,291,185,0,21,166,985,114,90,25,7,7,1893
Bay,367,341,39,26,172,671,55,120,31,9,26,1857
Haugaard,229,160,9,48,205,672,278,142,79,9,16,1847
Kjærgaard,218,161,9,9,93,640,197,459,44,7,10,1847
Dalsgaard,193,179,16,12,97,955,95,187,39,9,23,1805
Bjerre,289,185,0,15,104,637,107,342,46,0,14,1744
Munch,342,243,193,35,117,467,159,107,26,11,28,1728
Due,382,223,119,88,171,469,29,120,63,11,19,1694
Kofoed,389,269,630,64,53,129,30,56,24,9,21,1674
Knudsen,115,56,9,7,131,630,165,280,195,28,28,1644
Sloth,205,143,9,33,53,699,195,222,32,6,17,1614
Leth,292,155,0,51,100,755,70,122,22,0,30,1602
Kragh,307,207,9,42,112,548,148,78,39,5,43,1538
Bøgh,222,262,0,39,125,556,150,137,27,8,10,1536
Dalgaard,184,188,0,19,138,508,113,336,26,8,8,1532
Poulsen,113,73,6,16,76,511,318,256,81,18,63,1531
Kirkegaard,148,171,0,5,101,575,83,403,30,0,5,1527
Højgaard,232,250,0,13,138,536,83,216,19,6,29,1524
Brix,275,297,0,32,76,389,291,76,31,9,17,1494
Hjort,283,279,34,13,127,483,54,136,71,5,8,1493
Rask,192,131,0,27,138,579,111,257,21,8,26,1493
Høj,154,99,0,62,130,492,58,420,48,10,11,1484
Beck,261,183,0,22,120,350,120,171,189,7,30,1454
Storm,279,213,0,25,399,236,35,126,20,7,35,1376
Kjærsgaard,193,149,6,12,94,575,161,146,20,0,14,1373
Buch,315,229,0,35,125,432,25,136,46,7,11,1362
Jessen,94,56,5,12,65,273,20,230,535,22,44,1356
Falk,288,245,30,37,153,309,87,129,60,8,9,1355
Hald,176,181,13,13,62,560,156,131,27,0,14,1337
Lindberg,222,178,22,10,146,377,93,203,64,0,17,1336
Gade,215,116,0,8,59,381,187,280,66,5,9,1326
Johansen,87,94,5,27,82,396,77,193,273,23,46,1303
Bisgaard,119,79,0,10,87,679,171,120,24,0,8,1299
Birch,318,351,33,31,105,263,73,89,14,8,7,1292
Thorup,192,131,0,19,100,563,104,130,24,5,15,1286
Hartmann,301,264,0,39,109,262,194,63,24,5,19,1284
Koch,306,203,38,79,103,356,53,71,48,0,13,1273
Høgh,133,126,0,14,43,676,106,124,19,0,15,1259
Bjerg,148,126,0,7,110,264,90,446,43,0,15,1255
Borup,194,113,5,11,81,532,131,148,21,7,8,1251
Vedel,257,286,5,34,163,302,37,108,27,0,16,1238
Bøgelund,222,270,0,31,218,352,19,94,16,6,7,1235
Elkjær,181,187,0,11,88,510,24,151,61,7,11,1233
Hvid,136,132,5,54,50,591,97,112,22,5,10,1214
Sand,155,60,0,8,60,398,171,311,25,5,15,1208
